trade_id,strategy,book,entry_time,exit_time,lots,lot_size,calculated_pnl,reported_final_pnl
2026-02-19T11:38:39.881877,CALL_BACKSPREAD,CONVEX,2026-02-19T11:40:13.082886,2026-02-19T11:52:47.996722,20,65,-325.0,3250.0
2026-02-19T11:44:32.648069,CALL_BACKSPREAD,CONVEX,2026-02-19T11:46:09.404839,2026-02-19T11:58:09.685544,20,65,-292.5,3867.5
2026-02-19T11:50:11.308209,CALL_BACKSPREAD,CONVEX,2026-02-19T11:51:32.401422,2026-02-19T12:03:17.717337,20,65,-227.5,4647.5
2026-02-19T11:55:46.468761,CALL_BACKSPREAD,CONVEX,2026-02-19T11:57:08.831259,2026-02-19T12:08:32.270796,20,65,97.5,3770.0
2026-02-19T12:00:58.279253,CALL_BACKSPREAD,CONVEX,2026-02-19T12:02:16.336544,2026-02-19T12:25:33.369147,20,65,-747.5,7247.5
2026-02-19T12:06:13.477612,CALL_BACKSPREAD,CONVEX,2026-02-19T12:06:13.479607,2026-02-19T12:26:03.441785,20,65,-325.0,5720.0
2026-02-19T12:11:15.947213,CALL_BACKSPREAD,CONVEX,2026-02-19T12:12:33.905096,2026-02-20T09:54:52.652403,20,65,-130.0,14722.5
2026-02-19T12:16:36.541933,CALL_BACKSPREAD,CONVEX,2026-02-19T12:17:53.497496,2026-02-20T09:56:46.570894,20,65,-292.5,-3055.0
2026-02-19T12:22:53.448271,CALL_BACKSPREAD,CONVEX,2026-02-19T12:24:33.537942,2026-02-20T09:57:36.965001,20,65,-520.0,11115.0
2026-02-19T12:30:07.688963,CALL_BACKSPREAD,CONVEX,2026-02-19T12:31:25.549588,2026-02-20T09:59:21.894798,20,65,-195.0,13552.5
2026-02-19T12:36:45.498873,CALL_BACKSPREAD,CONVEX,2026-02-19T12:38:15.120122,2026-02-20T10:01:16.689668,20,65,-227.5,7767.5
2026-02-19T12:44:08.552362,CALL_BACKSPREAD,CONVEX,2026-02-19T12:45:28.118764,2026-02-19T13:45:09.728343,20,65,1170.0,-14072.5
2026-02-19T12:52:45.188658,CALL_BACKSPREAD,CONVEX,2026-02-19T12:54:00.462246,2026-02-20T10:02:51.733314,20,65,1690.0,3900.0
2026-02-19T13:14:43.012665,CALL_BACKSPREAD,CONVEX,2026-02-19T13:16:04.925564,2026-02-20T10:05:14.652753,20,65,32.5,24277.5
2026-02-19T13:25:49.864013,CALL_BACKSPREAD,CONVEX,2026-02-19T13:27:04.389068,2026-02-20T10:07:16.690840,20,65,-97.5,18005.0
2026-02-19T13:37:34.502544,CALL_BACKSPREAD,CONVEX,2026-02-19T13:38:55.077965,2026-02-20T10:09:15.623136,20,65,-682.5,16445.0
2026-02-19T13:49:49.462063,CALL_BACKSPREAD,CONVEX,2026-02-19T13:51:04.316793,2026-02-20T10:11:00.073903,20,65,-552.5,18752.5
2026-02-19T14:02:30.202451,CALL_BACKSPREAD,CONVEX,2026-02-19T14:04:11.399774,2026-02-20T10:12:44.907866,20,65,-162.5,877.5
2026-02-19T14:15:51.750560,CALL_BACKSPREAD,CONVEX,2026-02-19T14:17:23.597562,2026-02-20T10:14:28.338685,20,65,-65.0,20637.5
2026-02-19T14:30:29.239930,CALL_BACKSPREAD,CONVEX,2026-02-19T14:32:00.314515,2026-02-20T10:16:12.521740,20,65,1495.0,5395.0
2026-02-19T14:45:18.565469,CALL_BACKSPREAD,CONVEX,2026-02-19T14:46:36.202792,2026-02-20T10:18:12.009237,20,65,-325.0,-8190.0
2026-02-19T15:01:35.450447,CALL_BACKSPREAD,CONVEX,2026-02-19T15:02:58.166331,2026-02-20T10:20:04.680500,20,65,227.5,-9295.0
2026-02-19T15:18:58.116211,CALL_BACKSPREAD,CONVEX,2026-02-19T15:20:29.616026,2026-02-20T10:21:52.230875,20,65,325.0,-40462.5
2026-02-20T10:23:07.760422,CALL_BACKSPREAD,CONVEX,2026-02-20T10:25:26.322291,2026-02-20T12:37:55.982175,20,65,-487.5,-18167.5
2026-02-20T10:28:31.573608,CALL_BACKSPREAD,CONVEX,2026-02-20T10:30:47.172026,2026-02-20T12:39:33.397707,20,65,-390.0,-28242.5
2026-02-20T10:36:03.976835,CALL_BACKSPREAD,CONVEX,2026-02-20T10:38:23.889438,2026-02-20T15:07:12.581525,20,65,-260.0,-19175.0
2026-02-20T10:44:50.098887,CALL_BACKSPREAD,CONVEX,2026-02-20T10:47:15.458056,2026-02-23T10:13:51.362088,20,65,-1950.0,-51610.0
2026-02-20T10:55:26.006943,CALL_BACKSPREAD,CONVEX,2026-02-20T10:57:50.406226,2026-02-23T10:15:12.135004,20,65,-422.5,-55932.5
2026-02-20T11:10:37.233980,CALL_BACKSPREAD,CONVEX,2026-02-20T11:12:16.320955,2026-02-23T10:16:51.716753,20,65,-585.0,-74815.0
2026-02-20T11:20:53.696942,CALL_BACKSPREAD,CONVEX,2026-02-20T11:22:36.150872,2026-02-23T10:18:19.247115,20,65,-260.0,-58077.5
2026-02-20T11:32:44.095629,CALL_BACKSPREAD,CONVEX,2026-02-20T11:34:25.243187,2026-02-23T10:19:40.020001,20,65,-325.0,-55965.0
2026-02-20T11:46:10.449119,CALL_BACKSPREAD,CONVEX,2026-02-20T11:48:11.255904,2026-02-23T10:20:56.733630,20,65,65.0,-51545.0
2026-02-20T12:00:38.803577,CALL_BACKSPREAD,CONVEX,2026-02-20T12:02:15.746609,2026-02-23T10:22:17.400923,20,65,-227.5,-52032.5
2026-02-20T12:24:06.547159,CALL_BACKSPREAD,CONVEX,2026-02-20T12:25:32.820839,2026-02-20T14:16:55.656520,20,65,-390.0,9912.5
2026-02-20T12:51:50.149246,CALL_BACKSPREAD,CONVEX,2026-02-20T12:51:50.153357,2026-02-20T13:58:15.185379,20,65,-877.5,5460.0
2026-02-20T13:06:40.872784,CALL_BACKSPREAD,CONVEX,2026-02-20T13:08:18.461716,2026-02-23T10:23:33.268953,20,65,97.5,-53007.5
2026-02-20T13:24:54.603046,CALL_BACKSPREAD,CONVEX,2026-02-20T13:24:54.607663,2026-02-23T10:24:15.782057,20,65,292.5,-48295.0
2026-02-20T13:44:00.663775,CALL_BACKSPREAD,CONVEX,2026-02-20T13:45:45.577330,2026-02-20T14:58:49.294957,20,65,97.5,-14462.5
2026-02-20T14:03:18.832246,CALL_BACKSPREAD,CONVEX,2026-02-20T14:05:00.676275,2026-02-20T15:00:13.826478,20,65,227.5,-11375.0
2026-02-20T14:23:08.447651,CALL_BACKSPREAD,CONVEX,2026-02-20T14:23:08.451708,2026-02-23T09:47:43.801503,20,65,-487.5,-41925.0
2026-02-20T14:42:59.014089,CALL_BACKSPREAD,CONVEX,2026-02-20T14:44:42.012998,2026-02-23T10:24:55.516781,20,65,-162.5,-46182.5
2026-02-20T15:04:32.622387,CALL_BACKSPREAD,CONVEX,2026-02-20T15:06:28.086790,2026-02-23T10:26:34.570735,20,65,357.5,-40917.5
2026-02-20T15:25:07.726350,CALL_BACKSPREAD,CONVEX,2026-02-20T15:27:15.386715,2026-02-23T10:28:29.388038,20,65,-260.0,-43517.5
2026-02-23T09:52:34.989593,CALL_BACKSPREAD,CONVEX,2026-02-23T09:53:02.628703,2026-02-23T10:37:03.732728,20,65,130.0,-6500.0
2026-02-23T09:53:02.524448,IRON_CONDOR_WEEKLY,INCOME,2026-02-23T09:53:02.679878,2026-02-23T10:37:47.758523,580,65,-39585.0,35583.0
2026-02-23T10:12:03.347353,CALL_BACKSPREAD,CONVEX,2026-02-23T10:12:27.916175,2026-02-23T10:56:07.825121,20,65,32.5,-910.0
2026-02-23T10:12:27.822902,IRON_CONDOR_WEEKLY,INCOME,2026-02-23T10:12:27.968126,2026-02-23T11:02:54.503441,591,65,5762.25,26225.62
2026-02-23T10:41:27.760227,CALL_BACKSPREAD,CONVEX,2026-02-23T10:42:08.438482,2026-02-23T11:13:22.091428,20,65,520.0,-1950.0
2026-02-23T10:42:08.336889,IRON_CONDOR_WEEKLY,INCOME,2026-02-23T10:42:08.487625,2026-02-23T21:25:23.664651,631,65,-30761.25,63888.75
2026-02-23T11:01:37.537627,CALL_BACKSPREAD,CONVEX,2026-02-23T11:02:04.912112,2026-02-23T21:25:23.760258,20,65,-357.5,-357.5
2026-02-23T11:02:04.813925,IRON_CONDOR_WEEKLY,INCOME,2026-02-23T11:02:04.957296,2026-02-23T21:25:23.798302,637,65,-17597.13,51342.2
2026-02-23T11:11:11.627773,CALL_BACKSPREAD,CONVEX,2026-02-23T11:11:45.412120,2026-02-23T21:25:23.893131,20,65,-455.0,-455.0
2026-02-23T11:11:45.318638,IRON_CONDOR_WEEKLY,INCOME,2026-02-23T11:11:45.463766,2026-02-23T21:25:23.928874,653,65,1061.12,34249.85
2026-02-24T09:27:15.072582,CALL_BACKSPREAD,CONVEX,2026-02-24T09:28:22.076859,2026-02-24T09:44:10.985936,20,65,32.5,6890.0
2026-02-24T09:27:39.759134,IRON_CONDOR_WEEKLY,INCOME,2026-02-24T09:29:02.680203,2026-02-24T10:03:43.344665,586,65,-46660.25,73367.2
2026-02-24T09:33:00.849045,CALL_BACKSPREAD,CONVEX,2026-02-24T09:33:55.302888,2026-02-24T09:56:17.953024,20,65,1072.5,3705.0
2026-02-24T09:33:21.669039,IRON_CONDOR_WEEKLY,INCOME,2026-02-24T09:33:21.675576,2026-02-24T10:39:19.972362,592,65,-4810.0,20542.4
2026-02-24T09:39:47.293622,CALL_BACKSPREAD,CONVEX,2026-02-24T09:40:49.408693,2026-02-24T10:07:03.231216,20,65,975.0,-292.5
2026-02-24T09:40:09.731763,IRON_CONDOR_WEEKLY,INCOME,2026-02-24T09:40:09.736681,2026-02-24T10:40:02.189650,590,65,-14381.25,26137.0
2026-02-24T09:52:31.659015,CALL_BACKSPREAD,CONVEX,2026-02-24T09:54:04.157781,2026-02-24T10:18:02.487652,20,65,617.5,-65.0
2026-02-24T10:01:33.147138,CALL_BACKSPREAD,CONVEX,2026-02-24T10:02:37.118825,2026-02-24T10:30:24.921646,20,65,-2177.5,1625.0
2026-02-24T10:01:54.010489,IRON_CONDOR_WEEKLY,INCOME,2026-02-24T10:03:08.756978,2026-02-24T10:40:47.107800,596,65,-3874.0,14125.2
2026-02-24T10:13:04.051401,CALL_BACKSPREAD,CONVEX,2026-02-24T10:14:14.508093,2026-02-24T10:42:59.587526,20,65,292.5,747.5
2026-02-24T10:13:31.573215,IRON_CONDOR_WEEKLY,INCOME,2026-02-24T10:14:57.270225,2026-02-24T10:43:41.625746,595,65,25138.75,4403.0
2026-02-24T10:25:01.900763,CALL_BACKSPREAD,CONVEX,2026-02-24T10:26:11.121538,2026-02-24T10:52:34.939895,20,65,-1007.5,-1982.5
2026-02-24T10:25:27.434407,IRON_CONDOR_WEEKLY,INCOME,2026-02-24T10:26:53.817208,2026-02-24T10:53:08.334881,641,65,-7291.37,28909.1
2026-02-24T10:36:41.068377,CALL_BACKSPREAD,CONVEX,2026-02-24T10:37:53.342860,2026-02-24T12:18:20.761944,20,65,-520.0,-5200.0
2026-02-24T10:37:08.029552,IRON_CONDOR_WEEKLY,INCOME,2026-02-24T10:38:36.924366,2026-02-24T12:30:26.426327,588,65,-4777.5,3983.7
2026-02-24T10:49:25.793469,CALL_BACKSPREAD,CONVEX,2026-02-24T10:50:19.368773,2026-02-24T12:33:32.357712,20,65,-227.5,617.5
