week,expiry,pcr,signal,spot,atm,short,long,credit,exit,stop,pnl_pts,pnl_inr,note
2026-01-12,1970-01-01,—,SKIP,—,—,—,—,—,—,,—,—,no_weekly_chain
2026-01-19,2026-01-27,0.99,SKIP,—,—,—,—,—,—,,—,—,
2026-01-26,1970-01-01,—,SKIP,—,—,—,—,—,—,,—,—,no_weekly_chain
2026-02-02,1970-01-01,—,SKIP,—,—,—,—,—,—,,—,—,no_weekly_chain
2026-02-09,1970-01-01,—,SKIP,—,—,—,—,—,—,,—,—,no_weekly_chain
2026-02-16,2026-02-24,1.15,SKIP,—,—,—,—,—,—,,—,—,
2026-02-23,1970-01-01,—,SKIP,—,—,—,—,—,—,,—,—,no_weekly_chain
2026-03-02,1970-01-01,—,SKIP,—,—,—,—,—,—,,—,—,no_weekly_chain
2026-03-09,1970-01-01,—,SKIP,—,—,—,—,—,—,,—,—,no_weekly_chain
2026-03-16,1970-01-01,—,SKIP,—,—,—,—,—,—,,—,—,no_weekly_chain
2026-03-23,2026-03-30,0.73,SKIP,—,—,—,—,—,—,,—,—,
2026-03-30,1970-01-01,—,SKIP,—,—,—,—,—,—,,—,—,no_weekly_chain
2026-04-06,1970-01-01,—,SKIP,—,—,—,—,—,—,,—,—,no_weekly_chain
2026-04-13,1970-01-01,—,SKIP,—,—,—,—,—,—,,—,—,no_weekly_chain
2026-04-20,2026-04-28,1.01,SKIP,—,—,—,—,—,—,,—,—,
2026-04-27,1970-01-01,—,SKIP,—,—,—,—,—,—,,—,—,no_weekly_chain
2026-05-04,1970-01-01,—,SKIP,—,—,—,—,—,—,,—,—,no_weekly_chain
2026-05-11,1970-01-01,—,SKIP,—,—,—,—,—,—,,—,—,no_weekly_chain
